tconst,titleType,startYear,averageRating,numVotes,Popularity,threshold
tt0002130,movie,1911,7,2093,3.152141459,2
tt0002844,movie,1913,7,1881,2.935631952,2
tt0003037,movie,1913,7,1310,2.352486063,2
tt0003165,movie,1913,7,1013,2.049168499,2
tt0003419,movie,1913,6.5,1696,2.674223861,2
tt0003643,movie,1914,6.5,1076,2.04103568,2
tt0003740,movie,1914,7.1,2919,4.010206101,2
tt0003930,movie,1914,6.9,1129,2.153141383,2
tt0004026,movie,1915,6.8,1023,2.030392048,2
tt0004181,movie,1914,6.1,1211,2.120928973,2
tt0004707,movie,1914,6.3,3203,4.184290485,2
tt0004972,movie,1915,6.4,21254,22.63375257,2
tt0005078,movie,1915,6.6,2249,3.253481449,2
tt0005960,movie,1915,6.8,1071,2.079413068,2
tt0006206,movie,1915,7.3,4008,5.151359665,2
tt0006333,movie,1916,6.2,1469,2.39891154,2
tt0006864,movie,1916,7.8,13361,14.77578266,2
tt0008443,movie,1917,6.7,1237,2.234449516,2
tt0008663,movie,1917,7.4,1439,2.542208382,2
tt0008879,movie,1918,7.2,1475,2.549984984,2
tt0009611,movie,1918,7.3,5552,6.72820249,2
tt0009652,movie,1918,6.7,1342,2.341682998,2
tt0009878,movie,1919,7,1075,2.112487317,2
tt0009893,movie,1919,7.2,1582,2.659261008,2
tt0009937,movie,1919,7,1286,2.327975552,2
tt0009968,movie,1919,7.3,8989,10.23831181,2
tt0010040,movie,1919,6.5,1293,2.262651543,2
tt0010071,movie,1919,6.6,1113,2.093317298,2
tt0010247,movie,1919,7.3,1143,2.225417507,2
tt0010281,movie,1918,6.9,1182,2.20726876,2
tt0010307,movie,1919,7.7,1354,2.498884069,2
tt0010323,movie,1920,8.1,53043,55.34535252,3
tt0010418,movie,1919,7,1689,2.73954787,2
tt0010600,movie,1919,7.4,1585,2.691313985,2
tt0010726,movie,1919,6.7,1010,2.00262094,2
tt0010806,movie,1919,7,1562,2.60984642,2
tt0011000,movie,1920,6.7,1052,2.045514333,2
tt0011130,movie,1920,7,4575,5.686936724,2
tt0011237,movie,1920,7.2,6168,7.342811004,2
tt0011387,movie,1920,6.7,1067,2.060833402,2
tt0011439,movie,1920,7.1,2066,3.139061716,2
tt0011565,movie,1920,7.4,1935,3.048758926,2
tt0011607,movie,1920,7.2,993,2.057732237,2
tt0011652,movie,1920,6.2,1362,2.289635515,2
tt0011841,movie,1920,7.4,4809,5.983892526,2
tt0011865,movie,1920,6.7,1306,2.304917233,2
tt0011870,movie,1920,6.3,2148,3.106849307,2
tt0011904,movie,1921,6.8,1016,2.023243149,2
tt0011909,movie,1921,6.6,1195,2.177061541,2
tt0011960,movie,1921,7,996,2.031806887,2
tt0012190,movie,1921,7.2,3000,4.107423654,2
tt0012349,movie,1921,8.3,104174,107.5929624,3
tt0012364,movie,1921,8.1,9571,10.94864833,3
tt0012494,movie,1921,7.7,4804,6.022269914,2
tt0012532,movie,1921,7.4,4550,5.719383269,2
tt0012651,movie,1921,6.2,1317,2.243678309,2
tt0012675,movie,1921,6.4,3000,3.991467001,2
tt0012763,movie,1921,6.8,1703,2.724856504,2
tt0012938,movie,1922,6.8,2200,3.23242832,2
tt0012952,movie,1922,6.4,1207,2.160327633,2
tt0013075,movie,1922,7.1,1161,2.214811227,2
tt0013086,movie,1922,7.9,6973,8.266396439,2
tt0013140,movie,1922,7.1,2861,3.950972368,2
tt0013201,movie,1922,7,1577,2.625165489,2
tt0013257,movie,1922,7.7,11136,12.48895953,2
tt0013427,movie,1922,7.6,10090,11.40621521,2
tt0013442,movie,1922,7.9,84199,87.13509072,2
tt0013496,movie,1922,6.9,1465,2.496288526,2
tt0013556,movie,1922,7.2,1922,3.006493237,2
tt0013626,movie,1923,6.7,1913,2.924828887,2
tt0013933,movie,1923,7.5,1048,2.157385901,2
tt0014029,movie,1923,6.6,1052,2.031019751,2
tt0014109,movie,1924,7.1,1043,2.094301218,2
tt0014142,movie,1923,7.3,4563,5.718165214,2
tt0014341,movie,1923,7.8,9534,10.86737755,2
tt0014358,movie,1923,7.4,4003,5.160747891,2
tt0014417,movie,1923,7.4,1732,2.841440861,2
tt0014429,movie,1923,8.1,17093,18.63065075,3
tt0014532,movie,1923,6.8,1810,2.834132529,2
tt0014538,movie,1923,7.1,3797,4.906882266,2
tt0014586,movie,1924,6.6,1603,2.593740215,2
tt0014611,movie,1923,7.4,1497,2.601442115,2
tt0014624,movie,1923,7,4507,5.617490279,2
tt0014646,movie,1924,6.5,2230,3.219582713,2
tt0014945,movie,1924,7.7,2961,4.140066983,2
