Netflix,Hulu,Prime Video,Disney+,Type,Runtime,IMDb,Threshold
0,1,0,0,0,60,0,0
0,0,1,0,0,60,0,0
0,0,1,0,0,55,0,0
0,0,1,0,0,42,0,0
0,0,1,0,0,65,1,0
0,0,1,0,0,70,1,0
0,0,1,0,0,71,1.3,0
1,0,0,0,0,90,1.4,0
0,0,1,0,0,76,1.4,0
0,0,1,0,0,77,1.4,0
0,0,1,0,0,86,1.4,0
0,0,1,0,0,75,1.5,0
0,0,1,0,0,90,1.5,0
1,0,0,0,0,90,1.6,0
0,0,1,0,0,,1.6,0
0,0,1,0,0,74,1.6,0
0,0,1,0,0,90,1.6,0
0,0,1,0,0,95,1.6,0
0,0,1,0,0,71,1.6,0
0,0,1,0,0,84,1.6,0
0,0,1,0,0,101,1.6,0
0,0,1,0,0,85,1.6,0
0,0,0,1,0,76,1.6,0
1,0,0,0,0,150,1.7,0
0,0,1,0,0,77,1.7,0
0,0,1,0,0,85,1.7,0
0,0,1,0,0,85,1.7,0
0,0,1,0,0,150,1.7,0
0,0,1,0,0,105,1.7,0
0,0,1,0,0,86,1.7,0
0,0,1,0,0,82,1.7,0
0,0,1,0,0,105,1.8,0
0,0,1,0,0,90,1.8,0
0,0,1,0,0,,1.8,0
0,0,1,0,0,86,1.8,0
0,0,1,0,0,85,1.8,0
0,0,1,0,0,80,1.8,0
0,0,1,0,0,,1.8,0
0,0,1,0,0,88,1.8,0
0,0,1,0,0,70,1.9,0
0,0,1,0,0,87,1.9,0
0,0,1,0,0,41,1.9,0
0,0,1,0,0,91,1.9,0
0,0,1,0,0,87,1.9,0
0,0,1,0,0,88,1.9,0
0,0,1,0,0,81,1.9,0
0,0,1,0,0,76,1.9,0
0,0,1,0,0,88,1.9,0
0,0,1,0,0,160,2,0
0,0,1,0,0,87,2,0
0,0,1,0,0,83,2,0
0,0,1,0,0,90,2,0
0,0,1,0,0,84,2,0
0,0,1,0,0,91,2,0
0,0,1,0,0,82,2,0
0,0,1,0,0,102,2,0
0,0,1,0,0,110,2,0
0,0,1,0,0,89,2,0
0,0,1,0,0,90,2,0
0,0,1,0,0,89,2,0
0,0,1,0,0,138,2,0
0,0,1,0,0,80,2,0
0,0,1,0,0,177,2,0
0,0,1,0,0,93,2,0
0,0,1,0,0,83,2,0
0,0,1,0,0,86,2,0
0,0,1,0,0,81,2,0
1,0,0,0,0,125,2.1,0
1,0,0,0,0,96,2.1,0
1,0,0,0,0,142,2.1,0
0,0,1,0,0,84,2.1,0
0,0,1,0,0,90,2.1,0
0,0,1,0,0,97,2.1,0
0,0,1,0,0,96,2.1,0
0,0,1,0,0,110,2.1,0
0,0,1,0,0,75,2.1,0
0,0,1,0,0,90,2.1,0
0,0,1,0,0,67,2.1,0
0,0,1,0,0,89,2.1,0
0,0,1,0,0,91,2.1,0
0,0,1,0,0,87,2.1,0
0,0,1,0,0,78,2.1,0
0,0,1,0,0,90,2.1,0
0,0,1,0,0,93,2.1,0
0,0,1,0,0,78,2.1,0
0,0,1,0,0,86,2.1,0
0,0,1,0,0,88,2.1,0
0,0,1,0,0,81,2.1,0
0,0,1,0,0,86,2.1,0
0,0,1,0,0,95,2.1,0
0,0,1,0,0,78,2.1,0
0,0,1,0,0,120,2.1,0
0,0,1,0,0,75,2.1,0
0,0,1,0,0,130,2.1,0
0,0,1,0,0,100,2.1,0
0,0,1,0,0,70,2.1,0
0,0,1,0,0,88,2.1,0
0,0,1,0,0,91,2.1,0
1,0,0,0,0,77,2.2,0
1,0,0,0,0,102,2.2,0
0,1,0,0,0,122,2.2,0
0,0,1,0,0,75,2.2,0
0,0,1,0,0,41,2.2,0
0,0,1,0,0,73,2.2,0
0,0,1,0,0,80,2.2,0
0,0,1,0,0,89,2.2,0
0,0,1,0,0,86,2.2,0
0,0,1,0,0,94,2.2,0
0,0,1,0,0,80,2.2,0
0,0,1,0,0,75,2.2,0
0,0,1,0,0,83,2.2,0
0,0,1,0,0,87,2.2,0
0,0,1,0,0,92,2.2,0
0,0,1,0,0,87,2.2,0
0,0,1,0,0,83,2.2,0
0,0,1,0,0,86,2.2,0
0,0,1,0,0,81,2.2,0
0,0,1,0,0,,2.2,0
0,0,1,0,0,54,2.2,0
0,0,1,0,0,91,2.2,0
0,0,1,0,0,90,2.2,0
0,0,1,0,0,100,2.2,0
0,0,1,0,0,80,2.2,0
0,0,1,0,0,87,2.2,0
0,0,1,0,0,72,2.2,0
0,0,1,0,0,76,2.2,0
1,0,0,0,0,94,2.3,0
0,1,1,0,0,100,2.3,0
0,0,1,0,0,86,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,91,2.3,0
0,0,1,0,0,90,2.3,0
0,0,1,0,0,95,2.3,0
0,0,1,0,0,60,2.3,0
0,0,1,0,0,80,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,95,2.3,0
0,0,1,0,0,86,2.3,0
0,0,1,0,0,123,2.3,0
0,0,1,0,0,93,2.3,0
0,0,1,0,0,89,2.3,0
0,0,1,0,0,118,2.3,0
0,0,1,0,0,93,2.3,0
0,0,1,0,0,79,2.3,0
0,0,1,0,0,79,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,69,2.3,0
0,0,1,0,0,72,2.3,0
0,0,1,0,0,,2.3,0
0,0,1,0,0,103,2.3,0
0,0,1,0,0,84,2.3,0
0,0,1,0,0,92,2.3,0
0,0,1,0,0,87,2.3,0
0,0,1,0,0,82,2.3,0
0,0,1,0,0,83,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,89,2.3,0
0,0,1,0,0,79,2.3,0
0,0,1,0,0,78,2.3,0
0,0,1,0,0,73,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,87,2.3,0
0,0,1,0,0,86,2.3,0
1,0,0,0,0,,2.4,0
1,0,0,0,0,122,2.4,0
0,0,1,0,0,87,2.4,0
0,0,1,0,0,94,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,93,2.4,0
0,0,1,0,0,87,2.4,0
0,0,1,0,0,65,2.4,0
0,0,1,0,0,86,2.4,0
