budget,country,genre,gross,rating,runtime,votes,score,Threshold
500000,USA,Comedy,2783970,PG,79,13059,1.5,0
0,Peru,Action,410880,R,100,661,1.6,0
20000000,USA,Comedy,14190901,PG-13,87,78142,1.9,0
9000000,USA,Comedy,27696,PG-13,91,34253,1.9,0
7000000,Germany,Action,10249719,R,90,33277,2,0
20000000,Germany,Comedy,9109322,PG,88,26818,2,0
12000000,USA,Comedy,4922166,PG,81,23990,2.1,0
24000000,USA,Action,4916871,PG,85,7387,2.2,0
22000000,USA,Drama,4273372,PG-13,104,20019,2.2,0
84000000,USA,Comedy,17018422,PG,94,44519,2.2,0
242000,USA,Fantasy,233150,R,94,3359,2.3,0
0,USA,Comedy,306715,PG-13,100,5356,2.3,0
20000000,Canada,Action,5178569,R,99,38854,2.3,0
20000000,USA,Adventure,39739367,PG-13,86,93481,2.3,0
10700000,USA,Comedy,1238080,PG-13,89,4018,2.4,0
15000000,USA,Action,2409225,PG-13,93,8315,2.4,0
0,USA,Comedy,220198,PG,97,8063,2.4,0
73000000,USA,Action,21471685,PG-13,118,68160,2.4,0
54000000,USA,Comedy,6068735,R,121,42890,2.4,0
10000000,Germany,Action,292152,PG-13,85,6187,2.5,0
0,USA,Comedy,60822,PG-13,77,8844,2.6,0
24000000,USA,Comedy,6288000,PG,94,7497,2.6,0
12000000,USA,Comedy,27141959,PG,97,21192,2.6,0
30000000,USA,Action,9353573,PG,85,60877,2.6,0
1000000,USA,Adventure,1576615,PG,100,6348,2.7,0
0,USA,Comedy,71145,R,82,3363,2.7,0
20000000,USA,Comedy,48548426,PG-13,83,52303,2.7,0
30000000,USA,Comedy,38233676,PG-13,86,92856,2.7,0
0,USA,Comedy,129778,PG-13,89,605,2.8,0
6000000,USA,Comedy,1193062,PG,91,7942,2.8,0
20000000,USA,Comedy,18876581,PG,93,20357,2.8,0
16000000,USA,Action,1710972,PG-13,97,9291,2.8,0
0,USA,Action,375805,PG,93,9353,2.8,0
0,USA,Comedy,78068,R,88,895,2.9,0
23000000,USA,Adventure,20763013,PG-13,89,33419,2.9,0
15000000,Canada,Adventure,11144518,G,76,2827,2.9,0
25000000,Germany,Action,2405420,R,95,31478,2.9,0
20000000,USA,Comedy,10005534,PG,100,15573,2.9,0
70000000,USA,Action,18990798,R,98,23008,3,0
17000000,UK,Adventure,2315683,PG-13,97,4339,3.1,0
16000000,USA,Action,13998282,PG-13,110,28203,3.1,0
3000000,USA,Comedy,7888703,PG,95,8905,3.2,0
0,USA,Drama,4263112,PG,104,860,3.2,0
600000,USA,Comedy,141626,R,95,16202,3.2,0
0,USA,Action,3794000,R,98,21707,3.2,0
3500000,USA,Comedy,9247881,R,90,4578,3.2,0
0,Canada,Comedy,2147228,R,96,2003,3.3,0
6200000,USA,Comedy,126247,PG,83,26638,3.3,0
16000000,USA,Adventure,40363530,PG,80,19029,3.3,0
42000000,UK,Crime,13208023,R,101,17833,3.3,0
100000000,USA,Action,40202379,PG-13,104,93348,3.3,0
13000000,USA,Adventure,6424112,PG,95,8043,3.4,0
0,USA,Action,902152,R,89,4048,3.4,0
0,USA,Drama,1823154,PG-13,97,1340,3.4,0
25000000,UK,Comedy,29342592,PG,93,29357,3.4,0
12000000,USA,Comedy,37191304,PG-13,93,35300,3.4,0
19000000,USA,Comedy,26276465,PG-13,85,32064,3.4,0
79000000,USA,Comedy,74158157,PG,91,65046,3.4,0
0,USA,Action,63860,R,100,256,3.5,0
100000,USA,Horror,154323,R,88,4329,3.5,0
75000,USA,Horror,13133,R,72,1447,3.5,0
0,UK,Action,2517600,R,98,2424,3.5,0
1000000,USA,Horror,1753979,R,83,3208,3.5,0
8000000,USA,Action,8109349,PG,99,7129,3.5,0
10000000,USA,Comedy,45779,R,86,3055,3.5,0
7500000,USA,Action,12614346,PG-13,100,4762,3.5,0
8000000,USA,Drama,40066497,PG-13,95,24154,3.5,0
50000000,USA,Action,39177684,PG,93,22677,3.5,0
0,USA,Comedy,58116,R,91,6228,3.5,0
20000000,USA,Adventure,36661504,PG-13,82,41062,3.5,0
20000000,USA,Comedy,32015787,PG-13,88,54324,3.5,0
17000000,UK,Action,15681020,PG,90,35866,3.6,0
0,Canada,Action,10497324,PG,100,4195,3.6,0
10000000,USA,Action,4247162,PG,84,7914,3.6,0
83000000,USA,Comedy,35268275,PG,90,16842,3.6,0
45000000,USA,Action,15220685,PG-13,107,28683,3.6,0
10000000,UK,Comedy,7876,R,89,13734,3.6,0
70000000,USA,Action,14294842,R,91,17279,3.6,0
6000000,USA,Drama,1800,R,99,40355,3.6,0
18000000,USA,Horror,29511112,PG-13,100,30834,3.6,0
12000000,USA,Mystery,7498716,R,100,23832,3.6,0
35000000,South Korea,Action,10977721,PG-13,107,22050,3.6,0
27000000,USA,Action,38538188,PG,100,17340,3.6,0
0,Italy,Horror,8139,NOT RATED,110,3321,3.6,0
0,USA,Comedy,1392616,R,90,372,3.7,0
20000000,USA,Comedy,11798302,PG,98,12956,3.7,0
