budget,popularity,revenue,runtime,vote_count,vote_average,Threshold
0,0.126738,0,100,0,0,0
0,0.40703,0,0,0,0,0
0,0.028756,0,88,0,0,0
0,0.042346,0,200,0,0,0
3500000,1.618138,0,100,0,0,0
0,0.194848,0,90,0,0,0
3,0.008263,0,100,0,0,0
0,0.015295,0,90,0,0,0
2100000,0.039007,3330,126,0,0,0
0,0.027801,0,0,0,0,0
0,0.001186,0,0,0,0,0
2,0.050625,0,,0,0,0
0,0.060127,0,87,0,0,0
0,0.122704,0,0,0,0,0
0,0.43049,0,91,0,0,0
0,0.592821,0,104,0,0,0
0,0.077873,0,135,0,0,0
1,0.025364,0,99,0,0,0
0,0.002386,0,88,0,0,0
1200000,0.047781,0,85,0,0,0
0,0.021678,0,98,0,0,0
0,0.547654,0,96,1,0,0
0,0.007254,0,78,0,0,0
0,0.006943,0,0,0,0,0
0,0.004922,0,87,0,0,0
700000,0.578798,10508,107,0,0,0
0,0.003142,0,92,0,0,0
0,0.045648,0,70,0,0,0
0,0.006069,0,103,0,0,0
0,0.012942,0,0,0,0,0
56000,0.010909,0,80,0,0,0
0,0.021419,0,96,0,0,0
0,0,0,0,0,0,0
500,0.080105,0,101,0,0,0
0,0.072359,0,90,0,0,0
0,0.136721,0,0,0,0,0
0,0.003352,0,84,0,0,0
0,0.627763,0,0,0,0,0
0,0.001389,0,94,0,0,0
300000,0.006323,0,98,0,0,0
0,0.005883,0,0,0,0,0
300000,0.018087,0,90,0,0,0
0,0.399491,0,94,0,0,0
0,0.010607,0,0,0,0,0
0,0.278981,0,90,0,0,0
0,0.58954,0,106,0,0,0
0,0.004998,0,85,0,0,0
0,0.018716,0,89,0,0,0
0,0.036532,0,105,0,0,0
0,0.254659,0,94,0,0,0
0,0.015189,0,77,0,0,0
0,0.327622,0,104,0,0,0
0,0.076647,0,98,0,0,0
0,0.021392,0,72,0,0,0
0,0.015697,0,89,0,0,0
0,0.005256,0,90,0,0,0
0,0.002388,0,70,0,0,0
0,0.28397,0,0,0,0,0
0,0.003582,0,78,0,0,0
0,0.056459,0,89,0,0,0
0,0.038143,0,90,0,0,0
0,0.327794,0,60,0,0,0
0,0.166513,0,82,0,0,0
0,0.485405,0,98,1,0.5,0
0,0.137535,0,89,1,1,0
0,0.033883,0,0,1,1,0
0,5.886228,9109322,88,35,1.9,0
0,0.964802,0,104,1,2,0
0,0.100533,0,0,1,2,0
0,0.504251,0,90,1,2,0
500000,0.073079,0,84,1,2,0
0,0.049469,0,95,1,2,0
13,0.332679,0,84,1,2,0
0,0.28576,0,88,8,2.2,0
65000000,5.258726,73706,87,28,2.3,0
0,0.285131,0,122,4,2.3,0
0,0.165257,0,0,4,2.4,0
0,1.893697,1500000,85,9,2.6,0
0,0.587276,0,95,13,2.7,0
3000000,1.141463,0,79,10,2.8,0
0,0.319792,0,88,10,2.8,0
0,0.030253,0,120,3,2.8,0
0,1.088501,0,90,6,2.8,0
100000000,21.677732,0,85,462,2.9,0
17000000,0.138564,0,97,15,2.9,0
0,0.722911,0,76,8,2.9,0
0,0.909067,0,111,7,2.9,0
0,1.737032,0,80,28,2.9,0
44000000,7.89147,21400000,118,255,3,0
27000000,6.036684,0,110,16,3,0
25000000,16.238961,14109284,87,240,3,0
0,1.782666,0,94,6,3,0
12000000,1.623338,4922166,90,23,3,0
19000000,0.738652,2570000,89,3,3,0
10000000,0.666218,45779,86,9,3,0
5000000,0.999655,0,67,3,3,0
0,0.68822,0,80,5,3,0
0,0.06124,0,93,1,3,0
0,0.350557,0,0,1,3,0
300000,0.374291,40542,94,1,3,0
0,0.055325,0,96,1,3,0
20000000,9.292987,10442808,96,173,3.1,0
3000000,2.144354,0,82,11,3.1,0
2500000,8.248149,0,101,47,3.1,0
0,0.249457,0,90,6,3.1,0
40000000,6.756886,18902015,101,105,3.2,0
20000000,6.064638,86865564,86,326,3.2,0
0,1.682839,0,85,18,3.2,0
0,1.963219,0,80,13,3.2,0
0,5.628399,0,82,34,3.2,0
1000000,0.4594,0,84,3,3.2,0
0,0.160779,0,83,8,3.2,0
20000000,5.65327,1675706,84,12,3.3,0
0,2.184708,0,89,17,3.3,0
12000000,4.580081,36450736,97,75,3.3,0
5500000,2.141143,4865000,95,16,3.3,0
0,0.456485,0,96,8,3.3,0
3500000,4.304341,0,85,19,3.3,0
1500000,2.815228,0,90,52,3.3,0
0,0.429587,0,88,9,3.3,0
75000,0.140989,0,90,3,3.3,0
0,9.306253,0,98,106,3.4,0
22000000,3.809131,5271666,104,38,3.4,0
0,0.887821,0,200,6,3.4,0
0,0.397323,0,110,4,3.4,0
54000000,9.053456,7266209,121,104,3.5,0
25000000,7.008216,2405420,95,118,3.5,0
23000000,12.777008,51881013,89,224,3.5,0
0,1.110179,0,99,15,3.5,0
0,2.394613,0,97,36,3.5,0
0,0.258413,0,90,5,3.5,0
0,0.174311,0,103,2,3.5,0
1500000,2.02817,0,0,1,3.5,0
0,0.783842,0,84,4,3.5,0
0,3.418372,0,93,34,3.5,0
500000,1.600171,0,104,14,3.5,0
50000,0.595809,0,75,2,3.5,0
84000000,17.815595,0,94,338,3.6,0
0,0.809588,0,104,8,3.6,0
20000000,10.098722,48548426,83,222,3.6,0
3440000,1.913302,0,90,6,3.6,0
90000000,1.004579,10372291,104,16,3.7,0
30000000,10.608998,84646831,84,359,3.7,0
16000000,33.452469,19682924,110,392,3.7,0
18000000,11.725805,2945600,98,14,3.7,0
0,4.382761,0,80,78,3.7,0
0,0.982624,0,99,10,3.7,0
0,0.18094,0,120,3,3.7,0
0,1.186971,0,90,25,3.7,0
0,0.408073,0,87,3,3.7,0
30000000,11.916389,51376861,95,221,3.8,0
0,1.684948,0,82,7,3.8,0
70000000,8.792054,0,77,48,3.8,0
10000000,0.518056,2154696,79,6,3.8,0
0,2.881239,0,93,18,3.8,0
0,0.219799,0,95,4,3.8,0
1000000,20.466433,0,86,476,3.8,0
0,4.103764,0,95,46,3.8,0
0,1.039149,0,95,4,3.8,0
0,0.084344,0,92,5,3.8,0
76000000,8.981427,35134820,88,87,3.9,0
50000000,8.139676,12764201,97,112,3.9,0
26000000,5.644844,0,100,95,3.9,0
27000000,1.224105,0,90,8,3.9,0
12000000,3.94487,0,96,74,3.9,0
10000000,3.064563,0,93,29,3.9,0
0,0.269661,8880705,110,5,3.9,0
0,0.305922,531826,105,6,3.9,0
5000000,1.731035,846704,99,15,3.9,0
0,2.504156,0,96,37,3.9,0
0,1.002585,0,108,8,3.9,0
0,8.148187,0,88,44,3.9,0
45000000,3.848893,2154540,103,11,4,1
48000000,14.587367,20915465,104,232,4,1
70000000,4.822033,53587404,90,104,4,1
30000000,5.259585,0,100,72,4,1
108,7.410523,0,90,97,4,1
10000000,5.099472,0,90,53,4,1
0,1.82184,0,97,26,4,1
0,0.000372,0,90,3,4,1
0,2.857848,0,176,21,4,1
0,0.690089,0,90,1,4,1
1,1.859965,0,95,42,4,1
0,0.039077,0,98,3,4,1
0,0.218736,0,91,1,4,1
160000000,23.336875,164508066,121,434,4.1,1
79000000,22.132418,149673788,91,604,4.1,1
60000000,15.406173,0,127,224,4.1,1
35000000,19.286099,99423521,102,325,4.1,1
19000000,15.67747,39267515,85,210,4.1,1
25000000,3.344158,0,100,26,4.1,1
24000000,2.353441,4562146,93,19,4.1,1
20000000,2.605374,7000000,83,20,4.1,1
17000000,17.062117,19300000,90,318,4.1,1
11000000,3.495758,23978402,86,54,4.1,1
0,3.084874,0,85,10,4.1,1
0,11.946898,126247,83,178,4.1,1
8000000,2.101718,0,106,16,4.1,1
0,1.537859,10,91,35,4.1,1
0,1.136568,0,109,7,4.1,1
4000000,24.161735,52425855,91,1022,4.1,1
4000000,1.390659,0,78,8,4.1,1
3300000,2.964785,45000,96,9,4.1,1
3000000,3.077885,0,90,52,4.1,1
0,0.803761,0,81,15,4.1,1
0,4.480579,0,123,13,4.1,1
1344000,20.422246,0,103,140,4.1,1
0,0.926084,0,92,7,4.1,1
0,0.65434,0,90,7,4.1,1
250000,6.978907,56825,99,75,4.1,1
125000000,50.073575,238207122,125,1418,4.2,1
100000000,32.271938,82102379,104,808,4.2,1
57000000,9.27875,28283637,95,91,4.2,1
55000000,2.410546,14375181,107,28,4.2,1
45000000,14.566664,10667893,82,135,4.2,1
22000000,14.725467,10696210,104,305,4.2,1
20000000,17.165039,80547866,82,315,4.2,1
15600000,2.244947,0,91,20,4.2,1
5800000,3.201886,7000000,95,10,4.2,1
5000000,7.794,0,91,151,4.2,1
4000000,0.409089,0,100,5,4.2,1
3000000,10.341982,15938065,87,193,4.2,1
0,1.332804,0,90,35,4.2,1
1800000,1.959405,0,86,22,4.2,1
0,1.105357,0,102,13,4.2,1
0,1.906151,0,91,26,4.2,1
550000,0.48088,0,115,3,4.2,1
0,1.65426,0,100,11,4.2,1
0,0.160234,0,90,5,4.2,1
0,1.084387,0,0,14,4.2,1
0,3.545991,0,78,13,4.2,1
75000000,17.561955,0,78,318,4.3,1
75000000,8.098369,5409517,93,78,4.3,1
70000000,8.37378,19924033,91,97,4.3,1
62000000,13.218008,41819064,87,242,4.3,1
0,10.292864,0,89,203,4.3,1
0,0.716764,0,0,13,4.3,1
0,7.157635,0,93,69,4.3,1
25000000,8.212018,0,112,17,4.3,1
38000000,6.760922,5410749,93,75,4.3,1
25000000,3.707511,24362772,108,29,4.3,1
35000000,6.908351,0,88,20,4.3,1
16000000,2.848727,1686429,97,48,4.3,1
0,3.890223,0,90,212,4.3,1
0,4.480167,51,86,15,4.3,1
1200000,0.489271,0,111,5,4.3,1
0,0.186234,0,89,2,4.3,1
10000000,2.873796,0,91,16,4.3,1
0,1.259968,0,99,9,4.3,1
10000000,11.431434,0,94,158,4.3,1
10000000,1.465762,0,122,7,4.3,1
0,0.289433,0,98,4,4.3,1
0,1.86453,0,114,8,4.3,1
0,8.309894,0,82,48,4.3,1
20000000,14.947588,21164799,92,331,4.3,1
0,0.687656,0,89,12,4.3,1
0,0.13456,2592808,0,4,4.3,1
0,0.161517,0,0,4,4.3,1
100000,1.183892,27000000,69,5,4.3,1
120000000,38.126095,167977596,100,2278,4.4,1
100000000,12.092241,7103973,95,142,4.4,1
70000000,25.020428,61279452,99,533,4.4,1
83000000,6.248309,59468275,90,134,4.4,1
50000000,12.31101,69425966,92,269,4.4,1
50000000,11.106006,113309743,115,205,4.4,1
47000000,22.581313,10539000,80,420,4.4,1
27000000,14.788073,85564310,89,222,4.4,1
0,7.321181,0,85,46,4.4,1
18000000,6.333869,382174,98,60,4.4,1
14000000,8.885017,38574362,97,100,4.4,1
25000000,11.782725,15843608,87,104,4.4,1
14000000,14.813614,0,83,180,4.4,1
0,3.231848,0,84,49,4.4,1
6000000,35.350303,32438988,90,797,4.4,1
10000000,3.919057,0,97,51,4.4,1
0,1.288173,2400000,100,17,4.4,1
7000000,14.741589,36433975,89,216,4.4,1
6000000,12.601677,18197398,89,91,4.4,1
5000000,10.605752,15179302,88,203,4.4,1
0,4.118612,0,113,21,4.4,1
2000000,4.346271,0,88,27,4.4,1
2000000,2.00163,0,89,24,4.4,1
2000000,1.187764,0,92,19,4.4,1
0,5.379319,0,99,111,4.4,1
0,1.36514,0,0,12,4.4,1
0,0.447166,0,0,11,4.4,1
0,0.108468,0,118,5,4.4,1
62000,2.407048,0,82,32,4.4,1
94000000,8.468586,54744738,116,179,4.5,1
50000000,4.280619,61112916,98,137,4.5,1
50000000,9.114168,49000000,102,104,4.5,1
39000000,2.817364,6614280,106,32,4.5,1
0,3.312385,0,97,38,4.5,1
26000000,7.964451,36800000,99,110,4.5,1
0,2.645722,0,93,48,4.5,1
20000000,10.617236,4634062,107,139,4.5,1
18000000,10.144222,0,92,179,4.5,1
17000000,6.385234,9627492,82,140,4.5,1
13000000,11.045593,37664855,94,228,4.5,1
0,0.165367,0,124,2,4.5,1
14000000,6.772615,19800000,100,111,4.5,1
14000000,11.543363,30749142,118,133,4.5,1
11000000,11.220643,16951798,91,291,4.5,1
3000000,1.279106,1200000,87,10,4.5,1
10500000,11.225044,14144000,98,123,4.5,1
9000000,2.009597,1046166,97,12,4.5,1
7500000,1.369528,4245870,102,7,4.5,1
7000000,2.550045,1246141,100,31,4.5,1
15000000,10.48009,0,94,118,4.5,1
0,0.541652,0,93,2,4.5,1
4000000,12.822534,0,93,118,4.5,1
0,0.185373,9016377,94,4,4.5,1
2500000,1.759506,0,110,19,4.5,1
0,0.47909,0,88,4,4.5,1
17000000,6.526588,0,90,99,4.5,1
0,0.414754,330048,95,3,4.5,1
0,0.243853,0,90,2,4.5,1
0,3.283886,0,99,52,4.5,1
500000,2.391847,0,87,34,4.5,1
0,0.838957,0,82,11,4.5,1
70000000,13.483387,38629478,114,180,4.6,1
60000000,25.293538,62357900,97,524,4.6,1
47000000,10.410933,38085778,75,104,4.6,1
40000000,13.210898,49627779,96,147,4.6,1
36000000,1.068453,3003296,95,14,4.6,1
35000000,13.668633,39340177,92,149,4.6,1
28000000,6.756771,33000337,99,148,4.6,1
13000000,6.337063,0,98,82,4.6,1
25000000,3.888776,10719357,99,45,4.6,1
22000000,13.786075,84772742,84,304,4.6,1
20000000,11.62423,67192859,89,191,4.6,1
20000000,36.819044,78378744,86,793,4.6,1
0,1.916351,0,85,8,4.6,1
18000000,21.638673,266586800,93,218,4.6,1
17000000,4.544216,0,89,74,4.6,1
16000000,8.8321,50007546,114,96,4.6,1
16000000,0.830596,12,97,10,4.6,1
0,8.710294,0,87,115,4.6,1
13000000,10.475368,1784763,91,243,4.6,1
12000000,3.444542,0,93,47,4.6,1
12000000,10.536092,23,119,89,4.6,1
8000000,2.149469,0,97,30,4.6,1
0,2.214925,0,96,21,4.6,1
6000000,1.478505,869325,107,17,4.6,1
0,0.805312,0,87,5,4.6,1
4,0.28076,0,83,8,4.6,1
4000000,10.789912,0,90,116,4.6,1
3500000,1.271621,0,96,10,4.6,1
3000000,1.968679,0,95,16,4.6,1
2500000,0.973582,33400000,87,19,4.6,1
2450000,0.500753,0,105,5,4.6,1
2000000,3.125382,563706,120,19,4.6,1
0,3.215465,0,92,55,4.6,1
1000000,13.152822,101758490,83,262,4.6,1
550000,0.001586,0,98,4,4.6,1
13000000,4.009379,0,95,24,4.6,1
0,4.980585,0,86,9,4.6,1
150000,0.132878,15200000,97,18,4.6,1
150000000,33.769336,318502923,103,1151,4.7,1
84000000,17.783361,123307945,106,332,4.7,1
80000000,15.761384,78000586,114,183,4.7,1
60000000,36.689223,71073932,101,549,4.7,1
60000000,14.84856,39031337,103,320,4.7,1
57000000,48.622278,149217355,95,1135,4.7,1
50000000,37.253774,55969000,100,797,4.7,1
45000000,27.684779,136885767,89,610,4.7,1
45000000,6.250282,0,92,100,4.7,1
45000000,9.025236,17300889,100,136,4.7,1
38000000,21.998734,197011982,84,511,4.7,1
40000000,7.360793,46546197,84,119,4.7,1
33000000,2.706207,0,91,64,4.7,1
0,0.912395,0,103,9,4.7,1
25000000,12.10235,30114487,102,114,4.7,1
0,7.336256,0,100,64,4.7,1
25000000,6.889437,100000000,93,123,4.7,1
0,7.326034,0,83,71,4.7,1
21150000,6.081772,39438674,92,146,4.7,1
0,2.753501,0,107,28,4.7,1
24000000,3.113009,12372410,107,49,4.7,1
22000000,10.259461,22400154,83,225,4.7,1
20000000,12.458131,0,87,171,4.7,1
20000000,9.36146,10337477,84,78,4.7,1
0,4.961306,6575282,87,69,4.7,1
17000000,3.56033,0,87,30,4.7,1
16000000,9.400404,14822346,86,108,4.7,1
0,7.314796,0,86,77,4.7,1
15000000,13.237835,40105542,99,295,4.7,1
20000000,7.034752,8586376,94,146,4.7,1
0,0.116873,0,98,3,4.7,1
15000000,0.249245,5217498,105,15,4.7,1
13400000,0.680753,16700000,100,7,4.7,1
12000000,6.703319,61141030,93,158,4.7,1
12000000,4.623609,31179516,97,30,4.7,1
10000000,26.268209,66821036,100,507,4.7,1
0,10.955567,0,90,44,4.7,1
6000000,0.215464,399611,97,12,4.7,1
6000000,2.404626,69497,85,25,4.7,1
0,0.114342,126,139,11,4.7,1
0,3.673566,0,94,21,4.7,1
5000000,3.05434,0,95,33,4.7,1
5000000,8.618793,0,88,102,4.7,1
3000000,1.586598,15369573,100,25,4.7,1
0,0.197264,0,91,6,4.7,1
1000000,0.436148,0,97,3,4.7,1
1000000,0.341461,0,114,5,4.7,1
0,1.563711,0,92,31,4.7,1
500000,1.354816,0,97,13,4.7,1
350000,0.249561,0,98,3,4.7,1
0,3.619167,0,91,79,4.7,1
27000000,2.418535,0,109,34,4.8,1
80000000,7.342892,5989640,110,111,4.8,1
43000000,28.613892,56681566,97,575,4.8,1
63600000,4.494788,19412993,102,145,4.8,1
0,10.844882,0,88,171,4.8,1
35000000,3.746806,11560806,102,91,4.8,1
30000000,23.328823,64626786,89,469,4.8,1
0,20.252143,60896147,95,442,4.8,1
30000000,15.89534,31070211,87,458,4.8,1
30000000,10.694417,13521829,86,131,4.8,1
28000000,13.145205,14010832,98,296,4.8,1
30000000,3.314094,14000000,110,54,4.8,1
25000000,2.909346,0,95,47,4.8,1
40000000,9.842771,0,99,139,4.8,1
20000000,15.131867,16863583,93,271,4.8,1
0,9.642041,14796236,88,167,4.8,1
34000000,3.960098,19693891,108,63,4.8,1
16000000,15.788784,76514050,87,365,4.8,1
0,6.579017,0,94,44,4.8,1
16000000,7.251897,0,93,91,4.8,1
15000000,3.033471,10443316,93,32,4.8,1
15000000,5.484679,0,98,27,4.8,1
15000000,7.701186,0,90,92,4.8,1
0,4.901936,0,105,36,4.8,1
13000000,6.735922,98441954,105,154,4.8,1
0,7.964289,0,89,51,4.8,1
13000000,1.647335,9789900,91,4,4.8,1
0,1.416796,0,95,13,4.8,1
10000000,19.865989,40055439,95,448,4.8,1
10000000,4.570043,598645,89,50,4.8,1
0,1.388136,0,90,19,4.8,1
9000000,4.134327,21510851,84,119,4.8,1
9000000,0.717811,771499,130,14,4.8,1
0,3.804597,0,95,75,4.8,1
7000000,7.034618,6230276,94,48,4.8,1
0,5.336243,0,99,15,4.8,1
5000000,12.904615,14000000,100,191,4.8,1
0,0.20323,0,80,4,4.8,1
4500000,2.503612,0,86,67,4.8,1
0,1.735462,0,82,10,4.8,1
0,3.280081,0,94,36,4.8,1
0,1.998826,0,88,14,4.8,1
35000000,3.674294,0,94,40,4.8,1
0,1.946715,0,101,21,4.8,1
2000000,0.483974,4000000,106,6,4.8,1
2000000,1.95686,2506446,96,26,4.8,1
1200000,0.057564,0,84,12,4.8,1
0,0.0206,0,97,2,4.8,1
1000000,0.653495,0,85,11,4.8,1
650,1.352222,0,90,87,4.8,1
625000,0.283059,0,68,5,4.8,1
0,1.501688,0,98,4,4.8,1
0,0.082978,0,101,4,4.8,1
0,0.36447,0,86,4,4.8,1
0,0.17817,0,88,4,4.8,1
250000,0.130169,0,90,3,4.8,1
165000000,48.775723,389681935,120,2491,4.9,1
135000000,17.88953,76932943,121,331,4.9,1
120000000,11.137655,48668907,121,223,4.9,1
112000000,22.845143,237382724,85,621,4.9,1
0,18.251129,0,82,366,4.9,1
100000000,30.863434,249288105,104,967,4.9,1
85000000,11.77398,112483764,82,119,4.9,1
70000000,13.543053,176104344,87,410,4.9,1
65000000,2.952595,0,105,52,4.9,1
60000000,20.501582,163403799,91,950,4.9,1
90000000,5.762037,14828081,91,109,4.9,1
60000000,9.265672,0,114,111,4.9,1
60000000,19.694695,0,119,388,4.9,1
40000000,39.381913,41797066,94,740,4.9,1
40000000,3.321949,0,107,71,4.9,1
45000000,14.513305,20350754,128,256,4.9,1
35000000,19.088655,25871834,85,379,4.9,1
35000000,10.304172,12506188,83,135,4.9,1
33000000,7.339908,0,96,110,4.9,1
0,9.166658,0,87,95,4.9,1
30000000,14.585968,54819301,92,140,4.9,1
12000000,12.653831,24829644,87,287,4.9,1
26000000,5.894163,38793283,94,89,4.9,1
26000000,7.182761,0,127,71,4.9,1
20000000,9.855474,70992898,97,199,4.9,1
28000000,8.363702,10126458,91,132,4.9,1
0,0.816883,0,107,8,4.9,1
20000000,12.25264,149281606,91,209,4.9,1
20000000,0.173964,2297493,98,7,4.9,1
0,6.574285,0,124,9,4.9,1
18000000,11.238522,0,81,147,4.9,1
18000000,4.492859,16702864,92,76,4.9,1
18000000,16.520516,10501938,90,246,4.9,1
17000000,7.864011,7314027,107,95,4.9,1
0,5.359381,0,81,23,4.9,1
11000000,7.063053,23430766,95,74,4.9,1
0,8.312153,0,93,46,4.9,1
10,10.013629,10000000,99,119,4.9,1
9500000,5.346205,0,87,34,4.9,1
9000000,3.269459,0,91,70,4.9,1
0,1.569449,0,89,11,4.9,1
0,0.812776,0,180,8,4.9,1
0,11.199544,0,86,161,4.9,1
7000000,6.872784,20256975,96,50,4.9,1
0,4.448353,0,90,18,4.9,1
0,3.865122,0,96,57,4.9,1
5000000,56.30466,103590271,89,983,4.9,1
5000000,2.739307,0,90,47,4.9,1
3000000,12.564554,3387000,83,148,4.9,1
0,5.485217,0,80,54,4.9,1
0,1.776624,0,90,10,4.9,1
2500000,4.270489,0,87,63,4.9,1
1493619,2.492747,0,90,19,4.9,1
0,20.649145,18112929,88,483,4.9,1
1000000,3.638411,0,96,23,4.9,1
0,7.207051,0,83,78,4.9,1
0,0.459625,0,84,8,4.9,1
0,5.061107,0,90,49,4.9,1
0,5.742359,0,73,11,4.9,1
450000,1.077321,0,90,14,4.9,1
0,0.619979,0,90,4,4.9,1
100000,18.045782,42664410,87,361,4.9,1
0,0.001117,0,99,8,4.9,1
130000000,42.840582,243843127,100,2532,5,1
97250400,20.344364,132900000,116,471,5,1
80000000,17.455024,136159423,130,388,5,1
75000000,10.605084,51142659,116,166,5,1
60000000,29.261348,55987321,105,609,5,1
67000000,12.282911,25303038,102,207,5,1
65000000,31.324734,71154592,92,687,5,1
60000000,18.735024,93375151,87,352,5,1
60000000,18.676291,50650079,90,371,5,1
50000000,10.755847,152022101,109,213,5,1
50000000,12.25622,83761844,87,149,5,1
50000000,6.397388,6808550,88,76,5,1
46000000,28.964162,341631208,91,543,5,1
45000000,14.813057,42487390,99,332,5,1
40000000,19.833664,87840042,96,336,5,1
40000000,3.415534,36037909,94,40,5,1
75000000,4.842626,29000000,90,45,5,1
40000000,2.911819,10959475,93,28,5,1
38000000,41.258487,107597242,94,567,5,1
35000000,16.832312,14431253,91,320,5,1
32000000,4.120549,0,93,13,5,1
30000000,2.850896,21800302,104,66,5,1
30000000,4.352422,15368897,96,68,5,1
0,3.866026,0,98,29,5,1
21000000,12.790408,480314,87,205,5,1
30000000,4.065212,108348,125,41,5,1
29000000,8.93941,16930185,100,85,5,1
28000000,11.859396,58795814,102,284,5,1
0,6.718497,0,90,54,5,1
25000000,4.020194,5778353,117,22,5,1
25000000,35.022029,71009334,117,712,5,1
24000000,8.630825,30551495,89,141,5,1
38000000,9.662715,29907685,90,150,5,1
20000000,21.657563,100525432,97,500,5,1
20000000,23.292761,52302796,94,432,5,1
0,5.214408,0,98,120,5,1
0,0.416179,0,170,3,5,1
17900000,12.752463,6948633,89,206,5,1
17000000,2.215261,8720000,91,27,5,1
20000000,7.679336,22165608,92,163,5,1
15000000,8.074807,9902115,94,37,5,1
15000000,7.446069,6405245,89,100,5,1
15000000,2.609057,76382,93,22,5,1
0,4.289676,0,101,10,5,1
11000000,4.536745,13196245,90,55,5,1
14000000,16.618874,12314651,93,354,5,1
11000000,3.646848,0,110,16,5,1
8500000,4.844451,34411240,84,70,5,1
0,5.904126,0,96,114,5,1
0,0.304566,0,85,6,5,1
7000000,2.932784,0,102,15,5,1
7000000,5.060656,0,84,85,5,1
5000000,62.554173,31724284,94,1551,5,1
5000000,9.483717,15116634,88,170,5,1
5000000,17.028252,25562924,86,356,5,1
0,0.102003,0,89,3,5,1
0,3.230779,0,86,11,5,1
3000000,0.295226,19184015,113,1,5,1
3000000,0.019984,6804016,94,3,5,1
2500000,12.030456,14400000,98,229,5,1
0,0.630226,0,89,15,5,1
2000000,0.031947,1672730,120,2,5,1
0,0.046868,0,100,1,5,1
1800000,0.21544,0,101,4,5,1
1300000,0.072066,639000,135,1,5,1
0,5.065752,0,103,66,5,1
0,0.014406,0,0,1,5,1
5000000,17.845161,6833445,100,349,5,1
0,0.328498,0,85,4,5,1
0,0.280829,0,90,1,5,1
0,0.392658,0,0,2,5,1
1000000,0.175885,0,90,1,5,1
0,5.023091,0,86,62,5,1
522360,0.071349,0,105,1,5,1
0,0.383442,0,91,1,5,1
500000,0.046903,0,87,2,5,1
0,0.069244,0,82,1,5,1
0,0.133619,0,0,2,5,1
379000,0.968865,4358000,100,19,5,1
0,1.452199,0,96,22,5,1
250000,0.126304,0,100,4,5,1
0,1.063615,0,107,12,5,1
200,0.050978,0,109,1,5,1
